year,day_of_week,hour_of_day,num_rides
2016,7,11,125507
2020,3,16,216814
2019,2,8,271811
2017,4,0,15971
2019,4,16,193203
2019,4,8,333304
2018,6,7,135052
2020,7,18,222992
2020,6,20,121751
2018,3,13,120355
2021,1,0,1841
2020,6,13,162008
2020,4,11,128198
2020,5,18,271220
2020,3,7,127549
2017,7,0,27801
2018,7,16,188000
2020,4,13,158784
2019,3,19,219148
2020,4,8,188569
2020,5,10,108407
2016,7,16,138652
2020,6,15,199154
2019,6,7,159367
2018,4,8,274424
2019,4,19,205552
2020,2,15,179339
2020,2,22,52815
2018,4,0,17808
2020,2,8,155585
2017,6,15,152092
2016,6,17,208111
2016,6,12,102418
2021,4,8,11245
2019,3,11,119301
2016,2,12,88457
2019,2,15,151859
2017,5,7,145515
2017,4,13,121276
2018,5,19,186013
2018,7,7,33885
2019,2,1,9383
2018,7,12,190438
2018,5,13,126791
2017,1,15,171352
2020,3,20,136647
2020,1,12,231919
2019,1,20,101924
2018,2,18,275587
2018,4,22,65915
2019,7,19,158412
2018,6,18,223187
2017,7,7,28080
2019,5,19,200344
2019,4,22,71671
2020,3,0,18608
2020,1,9,99840
2019,6,4,6286
2017,3,18,259289
2019,2,9,195560
2019,7,6,18032
2017,4,22,62259
2019,4,17,313914
2017,5,14,123837
2021,5,15,12526
2020,7,4,6075
2017,5,8,252063
2020,7,23,60403
2018,6,22,57943
2017,2,23,28412
2019,3,8,316071
2020,3,1,9903
2019,5,11,117266
2020,1,6,17352
2019,6,18,271608
2020,4,3,4523
2017,4,16,172353
2019,3,16,203022
2018,4,7,157540
2017,5,22,61936
2019,2,12,130207
2020,5,0,22920
2019,2,14,139849
2019,4,14,150166
2019,5,13,143096
2020,5,22,63593
2019,7,23,58214
2019,1,21,72875
2018,1,19,116172
2020,4,12,149331
2019,3,20,146788
2019,7,8,79727
2019,6,21,86701
2020,5,20,124301
2020,1,17,245451
2019,2,21,94297
2020,3,12,138917
2019,1,9,98395
2021,1,13,14603
2019,4,10,129737
2019,5,20,134187
2014,2,15,66858
2013,1,13,60792
2014,7,12,79662
2013,3,15,42142
2014,1,13,86216
2014,4,12,53352
2013,7,14,67706
2013,7,18,55727
2013,7,20,33913
2013,2,21,28241
2014,1,18,74009
2013,5,19,56432
2013,5,20,38441
2013,7,12,61360
2014,5,20,58057
2014,6,19,69814
2014,6,20,44022
2013,3,14,39617
2013,5,12,38629
2013,5,17,81627
2013,6,3,1546
2013,6,11,33344
2013,1,9,25110
2014,7,20,39254
2013,3,13,41111
2013,4,20,44815
2013,6,14,47571
2013,3,20,42998
2014,7,23,20812
2013,1,11,48209
2013,3,19,64463
2013,1,18,53310
2013,2,2,1669
2013,7,9,30239
2013,1,12,57701
2013,2,8,65075
2014,5,22,31051
2013,7,1,8420
2013,6,23,17256
2013,2,19,61736
2014,3,11,46210
2014,5,21,40474
2013,2,1,3046
2013,3,10,31796
2014,1,17,80934
2014,7,10,56611
2014,2,6,30231
2014,1,1,11217
2014,2,0,8014
2014,3,14,57266
2014,4,15,62988
2014,6,4,2172
2014,3,2,2226
2013,4,23,16150
2013,5,0,8356
2014,2,18,132797
2014,1,6,4216
2013,3,23,14010
2013,4,18,89075
2014,7,13,84521
2014,2,23,16736
2013,3,0,6504
2013,4,2,1782
2013,4,19,63723
2013,5,22,23002
2013,6,21,25231
2014,4,21,38796
2014,7,6,5361
2013,2,3,984
2013,3,1,2981
2013,4,14,39470
2013,6,19,51156
2014,6,21,31177
2013,4,8,78521
2013,4,16,53889
2013,5,13,37191
2014,2,10,46164
2013,1,3,4207
2013,2,4,1167
2014,2,22,28066
2014,1,4,3272
2014,7,3,4358
2013,6,9,53868
2014,7,21,28953
2014,5,13,56895
2014,6,6,29013
2013,6,4,1397
2013,3,7,43435
2013,6,2,2883
2013,7,23,18075
2013,6,1,4988
2013,5,1,4173
2014,5,5,6934
2014,2,1,3835
2013,4,0,7384
2014,6,8,111288
2013,4,5,4546
2014,6,0,11946
2014,5,7,59595
2014,1,5,2122
2014,4,1,4482
2014,7,1,10338
2014,5,1,4546
2014,6,1,6241
2013,4,4,1144
2014,5,3,1346
2014,2,5,7158
2015,7,18,77838
2015,2,12,64806
2015,5,18,150815
2015,5,16,98111
2015,7,12,97891
2015,7,15,100030
2015,7,20,44335
2015,7,22,30026
2015,7,11,88105
2015,7,17,88323
2015,1,20,48059
2015,3,21,49264
2015,1,13,101251
2015,5,14,74967
2015,1,14,103143
2015,1,16,102644
2015,4,8,162314
2015,4,19,112164
2015,2,20,70037
2015,3,14,67892
2015,5,23,25659
2015,6,23,26092
2015,6,15,96568
2015,2,2,2457
2015,5,5,10149
2015,7,23,24872
2015,1,9,43415
2015,6,19,86174
2015,3,13,65818
2015,7,8,30560
2015,1,21,35335
2015,3,9,107900
2015,4,14,75072
2015,6,8,138410
2015,3,15,73091
2015,6,0,14494
2016,5,14,102825
2016,5,20,100381
2015,2,4,2095
2015,2,22,32146
2015,2,1,4572
2016,6,0,19810
2017,4,19,190964
2017,1,14,171691
2016,7,0,24353
2016,7,7,23464
2015,2,23,19121
2015,2,0,9460
2015,7,3,5123
2017,5,0,18469
2017,1,22,44787
2016,3,20,100982
2015,4,1,5223
2016,1,3,7265
2015,2,5,9137
2016,7,1,15086
2015,7,7,15299
2015,3,1,4682
2015,7,4,3320
2016,3,6,59172
2015,5,0,12539
